"Blocking Key Value","Frequency"
"ANA","24453"
"PAN","24336"
"APH","23941"
"AMA","23628"
"SYM","23542"
"HAP","22680"
"STA","22022"
"PYR","21942"
"RHA","21918"
"SOL","21780"
"MEL","178104"
"ART","21442"
"ANT","167960"
"MES","21285"
"HYP","164220"
"PLA","160550"
"ERI","159887"
"PRO","159250"
"DIC","148341"
"MIC","141489"
"PHY","139374"
"AST","131670"
"PAR","560694"
"CAR","512729"
"TRI","378737"
"LEP","372240"
"CAL","346320"
"PSE","258448"
"STE","217798"
"COR","211122"
"POL","207450"
"CHA","188100"
"PER","125136"
"PHA","122688"
"CER","118580"
"CON","112580"
"EUP","105600"
"COL","104587"
"NEO","103820"
"HYD","89680"
"MAC","86478"
"CRY","85848"
"CHR","83916"
"BRA","80920"
"CLA","72463"
"HEL","70688"
"CAM","69498"
"EPI","69020"
"SPH","68808"
"CHE","67044"
"SAL","61776"
"MEG","57909"
"ACA","52479"
"MOR","51989"
"PLE","48018"
"DIP","46002"
"LYC","45717"
"AGA","44892"
"RHI","44460"
"THE","43676"
"PEN","42640"
"LIM","41580"
"SYN","41216"
"MON","40946"
"GAL","40663"
"ARA","40469"
"NOT","39930"
"HET","39600"
"ECH","36960"
"RHY","36442"
"TET","35595"
"MET","35424"
"LAC","34846"
"HYL","34354"
"DIA","33294"
"LAS","32311"
"AMP","31084"
"HAL","30972"
"ELE","30849"
"MAL","30345"
"CHI","30295"
"CAS","30020"
"CYP","29987"
"ARC","29962"
"ALL","29892"
"AGR","29750"
"AND","29356"
"LEU","29160"
"PHI","28770"
"PTE","28413"
"CEN","28184"
"SCH","28060"
"PHO","27846"
"HEM","27636"
"OPH","26775"
"SPI","26160"
"CRO","26128"
"PRI","25628"
"ANO","25284"
"DEN","25112"
